7:29,224,1023,331,899,70405,302,2734,21911,2108£¬
19049:774,970,1524,3506,47360,63358,17,302,654,76,
19050:17,302,654,76,616,58,8,866,84,29,
19051:294,2272,729,17,302,654,76,616,58,8,
19062:17,47989,109913,59166,98042,9488,9332,88619,84,7174,
19065:34309,104871,121315,26434,3334,38549,66418,89015,17,302,
19069:5287,10660,18776,24145,34122,44257,5771,98037,40734,10316,
19070:17,302,654,76,616,58,8,866,84,29,
19094:100700,87430,4239,99051,17,302,654,76,616,58,
19095:18105,10813,98167,31646,22411,40771,119949,14,67335,2541,
19096:15088,15255,25696,54168,7667,17,302,654,76,616,
19097:17,302,654,76,616,58,8,866,84,29,
19102:917,58,654,273,40422,45,51780,138,226,2275,
19129:17,302,654,76,616,58,8,866,84,29,
19130:107669,19428,57712,76,80834,17,302,654,76,616,
19144:63364,236,17,899,36026,98177,91336,79536,83477,69140,
19148:17,302,654,76,616,58,8,866,84,29,
19156:87246,55084,90695,83408,2602,2292,294,1991,37386,398,
19163:8848,7859,27344,23884,19596,19390,10041,1206,119197,112023,
19165:17,302,654,76,616,58,8,866,84,29,
19174:14785,6040,35750,48703,26587,11715,62,13557,5303,5059,
19176:41105,46316,11916,15591,2071,24346,35847,59112,17,302,
19178:86073,398,59162,17,302,654,76,616,58,8,
19184:17,302,654,76,616,58,8,866,84,29,
19185:4422,4475,45434,45523,4741,47877,4794,4798,47993,4807,
19198:17,302,654,76,616,58,8,866,84,29,
19199:23191,58316,63129,70357,72031,1220,1527,4717,78369,90453,
19240:4299,7827,7127,1119,1187,2162,41563,4907,16979,1666,
19241:17,302,654,76,616,58,8,866,84,29,
19243:7856,31845,99664,109957,74905,302,116,53484,3297,13910,
19244:11188,54563,8178,7703,6131,5598,5375,4719,4697,4600,
19246:226,59211,111248,899,17,302,654,76,616,58,
19259:108416,45658,23200,15816,44253,78321,76009,508,57646,746,
19262:661,45163,12272,463,11834,68547,11697,12812,9732,13366,
19265:17,64378,15987,46091,63145,616,58,358,3549,2032,
19276:121607,15522,23589,3117,49596,58284,1106,245,17,302,
19277:157,27094,36967,17020,5766,59650,7148,197,8069,1352,
19304:17,302,654,76,616,58,8,866,84,29,
19307:5097,52680,20288,33270,42640,42756,8897,80189,70959,68709,
19308:84,302,3471,8,301,354,70,698,5575,226,
19309:1187,113167,29490,873,8,4364,5517,120885,17,2815,
19320:4600,17,302,654,76,616,58,8,866,84,
19328:17,302,654,76,616,58,8,866,84,29,
19343:61118,93612,17,302,654,76,616,58,8,866,
19354:10684,26993,87673,11101,1965,85801,1600,4257,4093,17,
19355:3159,119464,76,119701,168,3348,2399,27213,1970,2139,
19356:59903,111200,30606,377,4731,63060,17,302,654,76,
19357:84430,30455,61991,56511,2405,16387,75782,40644,39911,107060,
19400:15583,48350,62,917,654,788,17,302,654,76,
19405:10333,12009,54903,17,302,654,76,616,58,8,
19410:86550,3789,44901,5145,12582,19065,23410,26293,27250,49352,
19422:17,302,654,76,616,58,8,866,84,29,
19433:24380,52732,535,656,68645,17,302,654,76,616,
19434:1651,2579,2717,4744,6901,76,92483,33131,564,63874,
19443:17,302,654,76,616,58,8,866,84,29,
19444:101185,1682,78243,79797,8894,17,302,654,76,616,
19446:104068,2680,30372,67418,17,302,654,76,616,58,
19447:17,302,654,76,616,58,8,866,84,29,
19448:17,302,654,76,616,58,8,866,84,29,
19452:302,17,302,654,76,616,58,8,866,84,
19462:17,302,654,76,616,58,8,866,84,29,
19463:17,302,654,76,616,58,8,866,84,29,
19467:17,302,654,76,616,58,8,866,84,29,
19468:500,1913,2265,96566,736,6678,224,40,5663,581,
19475:27929,49064,873,93162,1097,23323,500,5812,17,302,
19476:11538,119694,1344,27214,81306,17,302,654,76,616,
19482:119734,17,17,302,654,76,616,58,8,866,
19498:17,302,654,76,616,58,8,866,84,29,
19503:17,302,654,76,616,58,8,866,84,29,
19517:1709,29,17,302,654,76,616,58,8,866,
19528:50323,13767,46203,72515,1077,70578,6591,6395,61303,60729,
19541:16504,33927,70743,67103,44770,11398,9462,68156,42150,6930,
19544:114435,91961,21486,29,20915,826,1405,902,425,364,
19549:19946,81,354,654,117229,238,9355,1558,20400,616,
19554:1102,58,17,518,15583,301,83241,225,422,57909,
19582:17,302,654,76,616,58,8,866,84,29,
19583:30103,90992,111330,1592,16629,2547,4239,924,17,302,
19626:542,301,302,58,84,899,17,302,654,76,
19646:107529,51782,51913,113242,11803,3231,85326,25718,44488,40538,
19680:17,302,654,76,616,58,8,866,84,29,
19682:17,302,654,76,616,58,8,866,84,29,
19692:1606,33232,89564,967,1245,12876,25733,2966,3717,3862,
19705:73512,38824,38403,34325,224,20103,17,13060,101,45390,
19707:103869,3735,42347,46639,5767,81,17,302,654,76,
19757:15420,57407,80763,89615,229,564,96814,17,302,654,
19759:17,302,654,76,616,58,8,866,84,29,
19763:19065,17,302,654,76,616,58,8,866,84,
19764:17,302,654,76,616,58,8,866,84,29,
19768:3526,103858,17,302,654,76,616,58,8,866,
19774:12332,57518,16542,2520,349,5604,17,302,654,76,
19781:16675,17,19946,22688,2272,236,42408,17,302,654,
19788:16044,25946,285,7282,1069,3348,2464,96163,26350,102563,
19814:17,302,654,76,616,58,8,866,84,29,
19832:790,77618,96492,76168,120456,21813,59814,13476,27905,70055,
19847:37448,17,302,654,76,616,58,8,866,84,
19852:17,302,654,76,616,58,8,866,84,29,
19881:98550,9441,92840,121706,13597,23170,6142,55792,95947,76952,
19882:1539,18239,3819,89093,9979,14683,15573,238,5812,17,
19887:17,302,654,76,616,58,8,866,84,29,
19893:17,302,654,76,616,58,8,866,84,29,
19950:7367,3039,16029,31488,357,21311,34806,120984,48136,3368,
19965:6874,30026,68212,13681,20561,103,650,209,59343,13312,
19983:17,302,654,76,616,58,8,866,84,29,
19985:116847,273,17,302,654,76,616,58,8,866,
19996:17,302,654,76,616,58,8,866,84,29,
20059:25003,109678,29891,378,899,932,97030,17,302,654,
20067:1119,4364,18025,110585,64438,92846,352,3704,25486,68854,
20073:973,17,302,654,76,616,58,8,866,84,
20074:46234,21438,37348,33130,83010,29387,63947,3270,44183,81993,
20075:25440,1152,780,3250,6395,2163,2935,4021,72150,26487,
20094:100354,11916,15591,2071,24346,35847,59112,17,302,654,
20095:17,302,654,76,616,58,8,866,84,29,
20115:17,302,654,76,616,58,8,866,84,29,
20116:17,302,654,76,616,58,8,866,84,29,
20120:28915,23116,42584,568,2168,109571,358,17,616,1874,
20125:17,302,654,76,616,58,8,866,84,29,
20160:118396,19972,226,86940,17,302,654,76,616,58,
20161:17,302,654,76,616,58,8,866,84,29,
20166:2103,26295,11524,63711,117724,13246,1362,1550,26492,29869,
20183:17516,2547,30878,46006,76230,21553,35620,35946,99035,17,
20206:2008,41824,866,877,17,302,654,76,616,58,
20208:17,302,654,76,616,58,8,866,84,29,
20220:273,899,57496,749,58,36007,30,285,107075,2338,
20233:17,302,654,76,616,58,8,866,84,29,
20234:17,1102,29,866,361,675,1089,1937,76,70,
20257:17,302,654,76,616,58,8,866,84,29,
20268:17,302,654,76,616,58,8,866,84,29,
20294:1091,119,1402,17,25913,50658,52583,56463,61982,7361,
20299:8956,18747,1928,21116,65444,28873,50065,3620,26675,518,
20304:17,302,654,76,616,58,8,866,84,29,
20305:17,302,654,76,616,58,8,866,84,29,
20316:84,15583,654,302,17,302,654,76,616,58,
20319:17,302,654,76,616,58,8,866,84,29,
20322:2950,31652,378,3886,40148,431,46073,5017,5117,5287,
20327:25969,59670,80321,17,302,654,76,616,58,8,
20333:37402,1410,84806,101053,31901,5634,59353,70,84,84507,
20334:21163,3937,94605,17,302,654,76,616,58,8,
20360:361,224,17,215,11293,24031,50039,568,61,2361,
20378:37141,431,46955,4697,4907,52169,65,654,71181,76276,
20379:8167,17527,12332,15085,76,23528,40558,10003,10453,25910,
20380:2162,17,736,873,8,6450,6103,5517,4420,4364,
20381:17,302,654,76,616,58,8,866,84,29,
20394:28605,99386,352,34957,17302,122345,21868,22678,28760,3022,
20395:17,302,654,76,616,58,8,866,84,29,
20409:17,302,654,76,616,58,8,866,84,29,
20420:17,302,654,76,616,58,8,866,84,29,
20438:23213,26165,28323,30669,32568,39684,40800,4943,7082,7212,
20439:17,302,654,76,616,58,8,866,84,29,
20440:10302,10692,4110,4146,46844,59009,9314,17,302,654,
20441:224,2887,29,736,17,18420,2770,58,9232,17,
20443:10046,115899,94850,17687,245,85173,84670,4268,4487,46073,
20456:17,302,654,76,616,58,8,866,84,29,
20463:16372,108609,6901,302,55651,8783,63525,3095,31920,3323,
20465:117160,14782,33231,51977,17,302,654,76,616,58,
20466:17,302,654,76,616,58,8,866,84,29,
20473:1446,56939,57658,59437,6061,60726,60760,62012,62630,6264,
20497:1091,175,17501,22108,6495,79575,17,302,654,76,
20498:224,28767,36201,4339,56064,60792,73934,17,302,654,
20507:14030,17,302,654,76,616,58,8,866,84,
20512:84156,11662,13895,564,11987,70489,21556,35985,83312,7011,
20520:1131,2946,6774,1600,3808,38804,47372,5545,23664,20340,
20544:17,302,654,76,616,58,8,866,84,29,
20545:17,302,654,76,616,58,8,866,84,29,
20546:650,17,301,138,62,29,84,1102,285,238,
20547:17,302,654,76,616,58,8,866,84,29,
20549:441,64836,98902,99986,17,302,654,76,616,58,
20550:11080,48660,81824,899,17,4364,13301,2716,81977,67707,
20553:25261,735,17,302,654,76,616,58,8,866,
20555:302,268,1693,4542,13876,1305,1804,3539,58,1403,
20556:30815,55387,8322,17,302,654,76,616,58,8,
20572:380,17,302,654,76,616,58,8,866,84,
20582:102850,53324,79964,102209,35950,5767,17,302,654,76,
20607:17,76,518,354,1012,11216,1462,2200,327,47276,
20624:1614,112211,1476,17,1023,29,302,470,4662,45,
20628:17,302,654,76,616,58,8,866,84,29,
20655:9355,70040,1645,18800,2901,97,91086,861,7655,5375,
20684:17,302,654,76,616,58,8,866,84,29,
20685:15573,79746,616,542,3065,294,39753,61792,285,4542,
20697:17,302,654,76,616,58,8,866,84,29,
20720:17,302,654,76,616,58,8,866,84,29,
20721:17,302,654,76,616,58,8,866,84,29,
20735:1405,97,899,14617,8213,57693,117034,3308,7292,86049,
20736:1827,2696,2714,8363,2403,3207,2268,24642,353,63620,
20752:64628,82549,51035,12791,56113,669,2593,17519,72766,13504,
20756:28950,986,76,226,6824,1501,20634,41638,119933,2582,
20761:28544,11146,7965,18757,9401,28170,1218,20614,40886,77007,
20766:7572,99024,85230,49213,3144,100195,932,10406,767,106613,
20790:17,302,654,76,616,58,8,866,84,29,
20807:106872,107182,117512,121030,27845,29542,48420,66768,71033,84057,
20809:17,302,654,76,616,58,8,866,84,29,
20810:17,302,654,76,616,58,8,866,84,29,
20812:774,35110,3506,2714,2696,26895,25783,245,2403,1827,
20846:17,302,654,76,616,58,8,866,84,29,
20857:62839,31022,6531,83521,9889,99048,17,302,654,76,
20858:4889,70949,533,3033,33696,91664,40475,34146,24621,21053,
20872:17,302,654,76,616,58,8,866,84,29,
20892:23467,36088,48,36715,11351,899,17,21366,239,12133,
20906:6503,107537,26849,5502,13889,33774,8660,17185,21405,43021,
20908:17,302,654,76,616,58,8,866,84,29,
20911:75858,4364,65,61,24012,3972,11053,121282,81972,53838,
20912:17,302,654,76,616,58,8,866,84,29,
20918:65445,78619,86674,3685,94790,17,302,654,76,616,
20926:17,302,654,76,616,58,8,866,84,29,
20932:17,302,654,76,616,58,8,866,84,29,
20950:55137,209,855,46874,25746,1099,3144,3142,302,58,
20954:17,302,654,76,616,58,8,866,84,29,
20973:17,57279,17,302,654,76,616,58,8,866,
20985:1176,13988,20836,23523,28227,7523,88492,17,302,654,
20990:17,302,654,76,616,58,8,866,84,29,
21028:10466,974,370,40269,13901,10473,11217,34483,3842,4210,
21029:39390,9613,22966,2275,29064,54625,2153,27249,36851,37666,
21030:17,302,654,76,616,58,8,866,84,29,
21032:21416,72921,28027,61521,93112,90617,90367,90337,69366,64557,
21033:102996,110597,122908,55239,81890,119,25081,81,9906,17,
21037:17,302,654,76,616,58,8,866,84,29,
21080:11906,1446,2354,2717,17,302,654,76,616,58,
21082:49329,81953,112811,1609,17,302,654,76,616,58,
21084:70555,83010,6783,20959,4274,37348,98466,42814,63947,3270,
21120:17,302,654,76,616,58,8,866,84,29,
21139:27443,533,71791,20229,23181,48170,83676,82193,14291,911,
21140:361,224,302,564,654,17,302,654,76,616,
21148:32677,8860,27457,12870,82382,93709,96447,76652,1050,104265,
21149:10012,1357,1937,3841,6,616,6541,17,302,654,
21151:17,302,654,76,616,58,8,866,84,29,
21160:110350,11681,41569,4660,51660,8066,17,302,654,76,
21164:4530,17,302,654,76,616,58,8,866,84,
21196:17748,24157,43708,117917,26573,29900,33038,63718,650,74448,
21207:47382,53192,43920,99929,17,302,654,76,616,58,
21220:2711,5624,67660,1352,21958,2880,26254,47889,32143,10041,
21246:302,13513,363,17,302,654,76,616,58,8,
21256:1410,26326,6741,67446,301,31267,19399,19352,36022,19274,
21259:361,866,17,302,654,76,616,58,8,866,
21266:285,17,302,654,76,616,58,8,866,84,
21272:98549,1690,80932,441,108281,29459,97303,23461,30285,7312,
21288:17,302,654,76,616,58,8,866,84,29,
21317:13763,2069,49490,565,74444,94631,17,302,654,76,
21318:2068,1451,72350,64731,105811,44366,378,32392,9003,3873,
21354:17,302,654,76,616,58,8,866,84,29,
21384:30954,19290,236,48275,95387,61273,11143,111109,98560,44069,
21401:76840,33308,3789,3985,44748,4498,4755,47908,48943,4966,
21423:17,302,654,76,616,58,8,866,84,29,
21447:13269,533,53686,62353,6872,17,302,654,76,616,
21448:34149,17,302,654,76,616,58,8,866,84,
21469:7171,35144,40465,8682,44311,4755,47568,48,50727,54589,
21476:17,302,654,76,616,58,8,866,84,29,
21505:17650,217,4414,56558,69412,7516,85548,17,302,654,
21514:12545,14946,18593,226,101372,66092,74956,69053,81501,82470,
21518:302,2021,58,100864,1102,116,14896,1685,239,564,
21531:17,302,654,76,616,58,8,866,84,29,
21542:11760,1803,441,53116,99986,1326,17786,5767,76552,17,
21543:8934,58701,39172,3789,13049,34384,109537,9783,3704,3246,
21551:100084,115290,13050,48623,49056,71500,100977,17,302,654,
21570:17,302,654,76,616,58,8,866,84,29,
21585:17,302,654,76,616,58,8,866,84,29,
21599:13910,77319,2935,302,3297,53484,116,48710,8867,8759,
21604:17,302,654,76,616,58,8,866,84,29,
21608:17,302,654,76,616,58,8,866,84,29,
21617:17,6,354,2831,226,70,1444,138,962,87289,
21631:17,302,654,76,616,58,8,866,84,29,
21633:112461,17,6400,88045,1050,392,5226,8081,1359,19779,
21637:17,302,654,76,616,58,8,866,84,29,
21670:118289,28415,73675,84630,87904,17,302,654,76,616,
21689:1353,34531,45659,67001,5998,2061,2733,47647,31452,18388,
21712:17,11755,6159,17,302,654,76,616,58,8,
21713:17,302,654,76,616,58,8,866,84,29,
21714:8916,103065,48138,111410,119847,3681,35499,4755,6503,58241,
21722:116,190,32926,394,40,7194,83612,899,1102,361,
21723:1344,2414,112551,21163,2399,40,500,72566,94605,17,
21732:18959,33919,61920,95482,57550,96115,8642,88594,17,302,
21737:840,45654,64938,67735,12761,7148,9737,17,302,654,
21745:17,302,654,76,616,58,8,866,84,29,
21763:17,9618,102505,108962,1822,28862,58,6,650,17,
21774:17,302,654,76,616,58,8,866,84,29,
21787:17,302,654,76,616,58,8,866,84,29,
21794:107086,14035,41965,17,302,654,76,616,58,8,
21796:85041,82724,80990,7660,65849,64132,525,46257,39407,28653,
21834:11146,58576,14374,111359,53634,78877,54586,30570,9617,47439,
21838:17,302,654,76,616,58,8,866,84,29,
21853:116782,27296,3372,57722,103755,93076,17,302,654,76,
21868:17,23060,31996,349,8384,17,302,654,76,616,
21869:17,302,654,76,616,58,8,866,84,29,
21908:1050,12435,2073,13513,193,302,363,17,302,654,
21912:3718,36757,35722,3423,3789,2983,5767,653,2275,226,
21931:1761,29,9745,39958,94897,60959,1119,113497,2030,28140,
21932:17,302,654,76,616,58,8,866,84,29,
21933:1730,33210,3759,48165,84982,17,302,654,76,616,
21934:17,302,654,76,616,58,8,866,84,29,
21941:2142,17,302,654,76,616,58,8,866,84,
21943:17,302,654,76,616,58,8,866,84,29,
21944:96009,14330,65860,29,322,89938,78400,15,302,31103,
21945:60977,69230,17,302,654,76,616,58,8,866,
21947:1550,1555,30385,354,7932,1476,2626,302,654,17,
21960:17,302,654,76,616,58,8,866,84,29,
21967:11916,15591,2071,24346,35847,59112,17,302,654,76,
21968:17,302,654,76,616,58,8,866,84,29,
21979:236,86563,5080,19540,23764,14687,32978,12253,10075,62348,
21993:17,302,654,76,616,58,8,866,84,29,
21996:17,302,654,76,616,58,8,866,84,29,
22003:17,302,654,76,616,58,8,866,84,29,
22012:29069,88326,97670,14268,17,302,654,76,616,58,
22016:17,302,654,76,616,58,8,866,84,29,
22017:5027,107810,88358,441,1730,30782,12611,262,106206,10254,
22029:17,302,654,76,616,58,8,866,84,29,
22030:17,302,654,76,616,58,8,866,84,29,
22036:11234,50615,29420,34220,17,302,654,76,616,58,
22037:105216,29065,66518,87432,17,302,654,76,616,58,
22060:7869,57067,3704,55736,4960,40576,29245,28591,22008,2073,
22080:103602,3786,57128,106,1418,24835,35042,63706,77739,10173,
22085:1187,899,736,1119,6450,4420,17,4299,295,25,
22102:17,302,654,76,616,58,8,866,84,29,
22109:62,6303,2158,2571,591,15583,76,8213,17,302,
22111:10470,11671,48725,17,302,654,76,616,58,8,
22116:15201,361,3739,17,302,654,76,616,58,8,
22124:17,302,654,76,616,58,8,866,84,29,
22128:719,7180,2318,16458,76,16982,42588,30695,9062,9021,
22158:278,17,302,654,76,616,58,8,866,84,
22164:16987,1890,361,48128,1535,17,254,38603,82701,97,
22165:17,302,654,76,616,58,8,866,84,29,
22173:74713,70335,11482,1435,8484,33851,52866,59924,76705,40770,
22176:1410,4444,827,6992,5150,4991,2557,3977,4856,48697,
22184:1937,29,17,302,654,76,616,58,8,866,
22198:15,356,17,302,654,76,616,58,8,866,
22201:17,302,654,76,616,58,8,866,84,29,
22213:1099,2121,807,1412,42266,8191,109026,122003,182,82504,
22222:774,99602,32558,1382,120932,22400,1827,1057,8536,9928,
22226:17,302,654,76,616,58,8,866,84,29,
22236:48674,85783,910,99240,17,302,654,76,616,58,
22245:37647,2439,27014,28632,38180,47346,82402,17,302,654,
22246:66729,18207,17625,53253,16396,6187,7356,4446,7458,81082,
22251:81,16653,4425,46319,3137,1344,8511,2520,72681,3682,
22262:82719,17,302,654,76,616,58,8,866,84,
22263:58,654,119671,3448,273,28862,354,16869,46726,17,
22280:199,3234,12255,9104,90686,60797,6068,495,2539,3028,
22286:17,5290,26135,26218,16740,28489,289,3,31609,4497,
22299:101336,13652,25237,35953,38234,4339,70740,82875,17,302,
22304:441,41711,70193,71539,14224,24536,87608,15388,94839,22657,
22324:17,302,654,76,616,58,8,866,84,29,
22326:29819,113412,21718,23913,2547,110684,59127,39547,87890,46620,
22337:140,17,302,654,76,616,58,8,866,84,
22346:17,302,654,76,616,58,8,866,84,29,
22354:76967,49155,47948,447,44138,43177,4199,37716,37110,36293,
22363:14470,10106,61920,16406,11101,87673,76,670,866,1728,
22366:17,302,654,76,616,58,8,866,84,29,
22372:108427,729,17,302,654,76,616,58,8,866,
22373:16024,71816,385,38510,3928,44031,51199,5363,54446,546,
22382:12100,42682,50772,60146,9962,123054,29040,84223,98546,110537,
22388:17,302,654,76,616,58,8,866,84,29,
22392:17,302,654,76,616,58,8,866,84,29,
22399:17,302,654,76,616,58,8,866,84,29,
22400:103835,731,81,9790,616,1937,550,3939,5860,28926,
22401:17,302,654,76,616,58,8,866,84,29,
22418:226,44020,4131,70,3407,1462,29626,13178,8011,74521,
22426:101782,108595,114323,23320,33041,43847,6411,67529,99683,17,
22427:1190,50325,8,17,302,654,76,616,58,8,
22430:17,302,654,76,616,58,8,866,84,29,
22431:46772,472,4741,47459,47525,47714,47768,47839,47917,4798,
22436:42524,591,17,302,654,76,616,58,8,866,
22459:224,64734,17,302,654,76,616,58,8,866,
22464:105563,110578,2935,29420,34220,38356,17,302,654,76,
22465:32815,17,302,654,76,616,58,8,866,84,
22469:168,1400,4877,1528,2351,2642,8860,661,13567,3709,
22476:23880,17,302,654,76,616,58,8,866,84,
22477:17,302,654,76,616,58,8,866,84,29,
22479:17,302,654,76,616,58,8,866,84,29,
22483:110519,1927,4702,64834,77808,301,7104,74806,90483,91048,
22492:17,302,654,76,616,58,8,866,84,29,
22493:17,302,654,76,616,58,8,866,84,29,
22497:28893,38573,17,302,654,76,616,58,8,866,
22501:105004,17,302,654,76,616,58,8,866,84,
22515:6091,5925,5802,5738,57134,564,54999,53561,5239,5237,
22521:17,302,654,76,616,58,8,866,84,29,
22523:17,302,654,76,616,58,8,866,84,29,
22533:17,302,654,76,616,58,8,866,84,29,
22538:187,11846,2131,64390,249,38207,12456,2389,34666,1403,
22546:17,302,654,76,616,58,8,866,84,29,
22568:17,302,654,76,616,58,8,866,84,29,
22574:99574,70292,22978,80043,82725,83859,1375,65923,65797,64380,
22575:17,302,654,76,616,58,8,866,84,29,
22579:81,3819,3423,22597,1888,140,4588,3125,2379,83928,
22580:21372,81,51044,3323,1402,2109,2204,29217,51500,9621,
22581:302,17,302,654,76,616,58,8,866,84,
22583:17,302,654,76,616,58,8,866,84,29,
22586:358,17,302,654,76,616,58,8,866,84,
22592:1444,17,2073,483,616,1089,58,17,302,654,
22603:114772,17,36832,72524,899,2162,875,17,302,654,
22624:13055,1477,1002,16465,17,302,654,76,616,58,
22639:17,591,654,11842,736,6,28473,394,65814,44048,
22675:36721,500,5812,115016,67755,67800,12190,107507,53195,40579,
22681:20888,32824,105897,30771,84943,111262,17,302,654,76,
22682:119,17,1965,245,353,36419,62207,6673,17,302,
22685:7104,17,302,654,76,616,58,8,866,84,
22691:17,591,654,6,28473,394,29,70,73635,2272,
22699:17,302,654,76,616,58,8,866,84,29,
22703:42870,17,302,654,76,616,58,8,866,84,
22706:34349,32884,40504,61024,89392,440,2121,654,17,7732,
22711:81,51715,3939,22421,2301,17396,1276,5109,65145,5498,
22741:17,302,654,76,616,58,8,866,84,29,
22748:591,3730,9618,17,302,654,76,616,58,8,
22755:1196,5145,63652,29594,43467,17,302,654,76,616,
22759:1220,3448,17,302,654,76,616,58,8,866,
22794:16782,15483,16165,67842,736,75629,81603,3266,43308,52268,
22799:43419,46726,60241,899,17,302,654,76,616,58,
22800:17,302,654,76,616,58,8,866,84,29,
22806:18105,101834,10813,98167,31646,22411,1262,9800,1286,7312,
22807:51061,115344,71064,10267,2318,33450,60765,68014,17,302,
22808:42246,121208,36163,11734,361,87871,34123,84972,85493,25438,
22823:18819,168,2888,11431,14161,87235,2512,48789,1740,99758,
22824:650,224,29,542,787,15,430,3162,4967,50906,
22825:44779,7869,1951,40734,49065,10537,118346,121014,4268,96152,
22835:21394,24055,17,302,654,76,616,58,8,866,
22844:17,302,8,616,9837,15334,190,238,289,301,
22850:72372,114480,1825,67440,18104,2058,2220,4021,6397,77616,
22851:17,302,654,76,616,58,8,866,84,29,
22862:17,302,654,76,616,58,8,866,84,29,
22863:3290,56415,80636,17,302,654,76,616,58,8,
22867:17,302,654,76,616,58,8,866,84,29,
22872:17,302,654,76,616,58,8,866,84,29,
22873:101,518,6552,8,113535,29342,74608,17,302,654,
22887:17,302,654,76,616,58,8,866,84,29,
22888:17,8,650,97,84,803,7407,564,2223,1693,
22893:17,302,654,76,616,58,8,866,84,29,
22901:17,302,654,76,616,58,8,866,84,29,
22903:17,302,654,76,616,58,8,866,84,29,
22906:52797,17106,25877,31914,73343,89447,72759,61139,18646,238,
22936:17,302,654,76,616,58,8,866,84,29,
22949:104598,59421,75493,3846,34034,32793,46554,52163,1352,118601,
22979:11671,18239,2292,32616,686,119665,80152,17,302,654,
22983:109960,3158,358,1382,14762,17,354,947,17,302,
22986:17,302,654,76,616,58,8,866,84,29,
23000:10175,12119,47489,7418,857,12229,13835,14955,16957,1700,
23040:17,302,654,76,616,58,8,866,84,29,
23044:109465,12073,78761,17,302,654,76,616,58,8,
23055:17,302,654,76,616,58,8,866,84,29,
23057:3977,2557,60071,22605,1886,64844,157,140,653,67689,
23073:17,302,654,76,616,58,8,866,84,29,
23099:77676,7680,70,58205,5767,4671,32645,3137,2967,26340,
23110:177,11497,22655,69494,103120,66537,17,302,654,76,
23111:17,302,654,76,616,58,8,866,84,29,
23112:17,302,654,76,616,58,8,866,84,29,
23113:17,302,654,76,616,58,8,866,84,29,
23114:17713,2435,3423,4131,42780,4588,566,6692,7881,8456,
23127:95406,24210,74212,331,29291,13431,10236,112220,30911,49300,
23133:3514,584,4797,12993,40734,18,65,4589,74338,601,
23183:1205,18819,20615,2582,550,6379,17,302,654,76,
23208:5008,105081,2162,875,18507,51405,100422,8058,52673,14684,
23221:12121,90121,17,302,654,76,616,58,8,866,
23229:117682,14021,16995,2081,21098,24854,288,3550,5922,75363,
23234:1352,4755,36493,27070,36967,3905,79506,17,302,654,
23244:32815,17,302,654,76,616,58,8,866,84,
23252:93683,12968,4308,46572,11577,26513,2856,7940,5486,88472,
23254:6292,20913,13917,1561,9210,8034,9172,2302,6455,486,
23255:26712,33285,41300,4194,53290,7653,17,302,654,76,
23277:17,302,654,76,616,58,8,866,84,29,
23311:31468,7401,8518,24439,30808,72768,17,302,654,76,
23323:17,302,654,76,616,58,8,866,84,29,
23335:109455,14787,15718,36865,17,302,654,76,616,58,
23340:18785,17,8931,76052,21608,9708,2983,2743,5287,1551,
23367:83508,49911,97518,89633,9337,93316,931,873,866,7407,
23382:48,70,875,1152,27941,4364,84,21228,57527,17,
23399:17,302,654,76,616,58,8,866,84,29,
23408:113943,21055,1357,84787,17,302,654,76,616,58,
23423:441,16465,371,47652,76487,13055,1477,18905,20444,17,
23433:354,654,29,8,76,48,1102,224,736,4996,
23448:17,302,654,76,616,58,8,866,84,29,
23452:17,289,616,155,25759,736,692,190,76,41106,
23458:108157,1556,31469,35640,50100,102108,509,6774,83258,17,
23464:17,302,654,76,616,58,8,866,84,29,
23465:17,302,654,76,616,58,8,866,84,29,
23498:6675,66,656,6210,6203,6033,60045,5828,5753,5732,
23508:44026,69203,52865,88644,802,76606,710,48759,48389,4547,
23514:17,302,654,76,616,58,8,866,84,29,
23542:26389,102013,58399,10590,16486,20091,20403,24432,33075,34042,
23544:1352,82844,33719,34386,16900,27089,38992,6434,17,302,
23548:17,302,654,76,616,58,8,866,84,29,
23549:83361,85121,111926,2596,1730,90264,41656,17,13116,29,
23569:10404,358,669,17,302,654,76,616,58,8,
23587:31973,7211,17,302,654,76,616,58,8,866,
23595:899,12726,18497,875,1163,1498,17,2233,27803,431,
23606:1527,1352,4755,47889,98788,115912,3977,3704,40555,42849,
23631:8167,4671,7088,40510,238,68057,11924,1468,7334,9594,
23637:17,302,654,76,616,58,8,866,84,29,
23653:12947,17,302,654,76,616,58,8,866,84,
23670:17,302,654,76,616,58,8,866,84,29,
23678:121607,23589,24139,3117,49596,58284,1106,245,17,302,
23686:518,6552,84,17,302,654,76,616,58,8,
23692:11543,8692,76,2401,3850,83825,19881,12361,20163,59964,
23699:60910,106351,17,1196,363,25549,22070,1285,32553,35159,
23711:17439,46374,63989,17,302,654,76,616,58,8,
23714:17,302,654,76,616,58,8,866,84,29,
23735:79476,97423,95656,3241,71941,1561,20760,23576,302,5744,
23751:17,302,654,76,616,58,8,866,84,29,
23779:7869,81779,108597,1100,119388,21220,70,76,17,29713,
23785:105342,2008,43658,78712,1009,108245,31474,31797,610,69969,
23827:54389,17,302,654,76,616,58,8,866,84,
23828:10503,14035,105330,1069,116797,12548,13335,20288,27291,39673,
23847:17,302,654,76,616,58,8,866,84,29,
23865:10844,20892,84267,17,302,654,76,616,58,8,
